month,region,gl_revenue_usd
2025-01,Central,176997.15
2025-01,East,171052.48
2025-01,West,173189.72
2025-02,Central,183952.82
2025-02,East,187807.42
2025-02,West,189156.15
2025-03,Central,201281.18
2025-03,East,207450.15
2025-03,West,210752.43
2025-04,Central,199211.91
2025-04,East,199188.94
2025-04,West,199607.76
2025-05,Central,202313.58
2025-05,East,203133.66
2025-05,West,208320.91
2025-06,Central,201222.45
2025-06,East,200344.29
2025-06,West,203676.48
2025-07,Central,214469.65
2025-07,East,213238.28
2025-07,West,218650.34
2025-08,Central,209347.84
2025-08,East,205970.19
2025-08,West,201745.75
2025-09,Central,230002.12
2025-09,East,225061.74
2025-09,West,210527.68
