month,fulfillment_center,region,orders_backlog,daily_incoming_orders,daily_processing_capacity_orders,staff_headcount,wms_migration_status
2025-01,WEST_DC,West,22,380,440,22,stable
2025-01,EAST_DC,East,18,340,395,20,stable
2025-01,CENTRAL_DC,Central,10,410,470,24,stable
2025-02,WEST_DC,West,10,380,440,22,stable
2025-02,EAST_DC,East,10,340,395,20,stable
2025-02,CENTRAL_DC,Central,10,410,470,24,stable
2025-03,WEST_DC,West,10,380,440,22,stable
2025-03,EAST_DC,East,10,340,395,20,stable
2025-03,CENTRAL_DC,Central,10,410,470,24,stable
2025-04,WEST_DC,West,10,380,440,22,stable
2025-04,EAST_DC,East,10,340,395,20,stable
2025-04,CENTRAL_DC,Central,10,410,470,24,stable
2025-05,WEST_DC,West,10,380,440,22,stable
2025-05,EAST_DC,East,10,340,395,20,stable
2025-05,CENTRAL_DC,Central,10,410,470,24,stable
2025-06,WEST_DC,West,10,380,440,22,stable
2025-06,EAST_DC,East,10,340,395,20,stable
2025-06,CENTRAL_DC,Central,10,410,470,24,stable
2025-07,WEST_DC,West,10,380,440,22,stable
2025-07,EAST_DC,East,10,340,395,20,stable
2025-07,CENTRAL_DC,Central,10,410,470,24,stable
2025-08,WEST_DC,West,10,380,440,22,stable
2025-08,EAST_DC,East,10,340,395,20,stable
2025-08,CENTRAL_DC,Central,10,410,470,24,stable
2025-09,WEST_DC,West,10,380,440,22,stable
2025-09,EAST_DC,East,10,340,395,20,stable
2025-09,CENTRAL_DC,Central,1810,410,350,19,in_progress
