week,week_start,region,channel,spend_usd,attributed_revenue_usd
1,2025-01-06,West,Search,3747.62,8083.35
1,2025-01-06,West,Social,2549.21,5648.08
1,2025-01-06,West,Display,1904.67,4099.69
1,2025-01-06,West,Email,320.96,630.0
1,2025-01-06,East,Search,4194.01,9154.02
1,2025-01-06,East,Social,2342.77,6306.02
1,2025-01-06,East,Display,1919.34,4392.05
1,2025-01-06,East,Email,407.47,915.56
1,2025-01-06,Central,Search,3778.72,9470.01
1,2025-01-06,Central,Social,2777.08,5289.03
1,2025-01-06,Central,Display,1832.61,4338.45
1,2025-01-06,Central,Email,389.7,1059.78
2,2025-01-13,West,Search,4868.22,10829.34
2,2025-01-13,West,Social,2553.65,5699.62
2,2025-01-13,West,Display,1711.97,3622.26
2,2025-01-13,West,Email,416.22,1120.58
2,2025-01-13,East,Search,4720.83,11603.02
2,2025-01-13,East,Social,2099.32,4045.58
2,2025-01-13,East,Display,1953.24,5125.06
2,2025-01-13,East,Email,417.72,935.23
2,2025-01-13,Central,Search,4654.37,11406.56
2,2025-01-13,Central,Social,2836.59,5470.89
2,2025-01-13,Central,Display,1849.44,4910.11
2,2025-01-13,Central,Email,416.88,1037.88
3,2025-01-20,West,Search,4212.22,9777.47
3,2025-01-20,West,Social,2891.73,6263.6
3,2025-01-20,West,Display,1689.46,3724.17
3,2025-01-20,West,Email,400.75,792.68
3,2025-01-20,East,Search,4445.64,10078.93
3,2025-01-20,East,Social,2777.57,5211.23
3,2025-01-20,East,Display,1923.48,4938.31
3,2025-01-20,East,Email,414.03,954.76
3,2025-01-20,Central,Search,4490.71,11470.55
3,2025-01-20,Central,Social,2708.77,6553.94
3,2025-01-20,Central,Display,2038.6,4999.12
3,2025-01-20,Central,Email,374.39,955.94
4,2025-01-27,West,Search,4158.43,9592.07
4,2025-01-27,West,Social,2622.23,6539.25
4,2025-01-27,West,Display,2051.83,4729.24
4,2025-01-27,West,Email,455.4,1062.41
4,2025-01-27,East,Search,4671.13,10928.98
4,2025-01-27,East,Social,2497.58,6704.54
4,2025-01-27,East,Display,1715.34,3720.65
4,2025-01-27,East,Email,359.81,918.75
4,2025-01-27,Central,Search,4705.16,11172.99
4,2025-01-27,Central,Social,2395.35,5506.07
4,2025-01-27,Central,Display,1756.42,3677.78
4,2025-01-27,Central,Email,384.36,922.89
5,2025-02-03,West,Search,3996.66,9425.52
5,2025-02-03,West,Social,2230.52,5879.3
5,2025-02-03,West,Display,1743.64,4313.84
5,2025-02-03,West,Email,406.04,966.57
5,2025-02-03,East,Search,3819.65,8204.19
5,2025-02-03,East,Social,2446.53,5639.41
5,2025-02-03,East,Display,1990.97,4751.74
5,2025-02-03,East,Email,371.19,860.22
5,2025-02-03,Central,Search,4172.91,9304.86
