date,region,product_category,fulfillment_center,units,gross_revenue
2025-01-06,West,Electronics,WEST_DC,36,4151.24
2025-01-06,West,Electronics,EAST_DC,3,361.38
2025-01-06,West,Electronics,CENTRAL_DC,6,713.17
2025-01-06,West,Home,WEST_DC,15,697.83
2025-01-06,West,Home,EAST_DC,5,228.16
2025-01-06,West,Home,CENTRAL_DC,3,131.52
2025-01-06,West,Apparel,WEST_DC,29,852.23
2025-01-06,West,Apparel,EAST_DC,4,124.4
2025-01-06,West,Apparel,CENTRAL_DC,3,89.58
2025-01-06,West,Accessories,WEST_DC,2,29.63
2025-01-06,West,Accessories,EAST_DC,1,14.77
2025-01-06,East,Electronics,EAST_DC,31,3627.99
2025-01-06,East,Electronics,WEST_DC,3,367.03
2025-01-06,East,Electronics,CENTRAL_DC,3,368.03
2025-01-06,East,Home,EAST_DC,25,1128.94
2025-01-06,East,Home,WEST_DC,7,317.07
2025-01-06,East,Home,CENTRAL_DC,4,184.71
2025-01-06,East,Apparel,EAST_DC,18,516.39
2025-01-06,East,Apparel,WEST_DC,5,148.56
2025-01-06,East,Apparel,CENTRAL_DC,4,118.31
2025-01-06,East,Accessories,EAST_DC,2,30.15
2025-01-06,East,Accessories,WEST_DC,1,15.26
2025-01-06,Central,Electronics,CENTRAL_DC,30,3579.34
2025-01-06,Central,Electronics,WEST_DC,4,461.63
2025-01-06,Central,Electronics,EAST_DC,7,811.44
2025-01-06,Central,Home,CENTRAL_DC,14,633.0
2025-01-06,Central,Home,WEST_DC,3,137.53
2025-01-06,Central,Home,EAST_DC,2,89.16
2025-01-06,Central,Apparel,CENTRAL_DC,33,1004.46
2025-01-06,Central,Apparel,WEST_DC,5,147.89
2025-01-06,Central,Apparel,EAST_DC,3,90.03
2025-01-06,Central,Accessories,CENTRAL_DC,4,57.4
2025-01-07,West,Electronics,WEST_DC,32,3924.96
2025-01-07,West,Electronics,EAST_DC,11,1283.03
2025-01-07,West,Electronics,CENTRAL_DC,7,834.82
2025-01-07,West,Home,WEST_DC,22,947.05
2025-01-07,West,Home,EAST_DC,2,90.19
2025-01-07,West,Home,CENTRAL_DC,5,221.43
2025-01-07,West,Apparel,WEST_DC,26,784.2
2025-01-07,West,Apparel,EAST_DC,2,60.4
2025-01-07,West,Apparel,CENTRAL_DC,6,187.34
2025-01-07,West,Accessories,WEST_DC,2,29.17
2025-01-07,East,Electronics,EAST_DC,37,4304.72
2025-01-07,East,Electronics,WEST_DC,4,484.51
2025-01-07,East,Home,EAST_DC,13,547.58
2025-01-07,East,Home,WEST_DC,4,181.45
2025-01-07,East,Home,CENTRAL_DC,4,175.61
2025-01-07,East,Apparel,EAST_DC,23,686.72
2025-01-07,East,Apparel,WEST_DC,8,232.54
2025-01-07,East,Apparel,CENTRAL_DC,4,113.97
2025-01-07,East,Accessories,EAST_DC,5,73.15
2025-01-07,East,Accessories,WEST_DC,1,15.38
2025-01-07,East,Accessories,CENTRAL_DC,1,14.59
2025-01-07,Central,Electronics,CENTRAL_DC,45,5472.26
2025-01-07,Central,Electronics,WEST_DC,7,828.53
2025-01-07,Central,Electronics,EAST_DC,3,346.76
2025-01-07,Central,Home,CENTRAL_DC,27,1255.32
2025-01-07,Central,Home,WEST_DC,6,273.47
2025-01-07,Central,Home,EAST_DC,5,235.37
2025-01-07,Central,Apparel,CENTRAL_DC,26,775.8
2025-01-07,Central,Apparel,WEST_DC,4,118.62
2025-01-07,Central,Apparel,EAST_DC,1,31.32
2025-01-07,Central,Accessories,CENTRAL_DC,5,76.45
2025-01-07,Central,Accessories,EAST_DC,1,14.08
2025-01-08,West,Electronics,WEST_DC,34,4192.11
2025-01-08,West,Electronics,EAST_DC,4,460.9
2025-01-08,West,Electronics,CENTRAL_DC,2,240.22
2025-01-08,West,Home,WEST_DC,21,940.62
2025-01-08,West,Home,EAST_DC,6,264.36
2025-01-08,West,Home,CENTRAL_DC,1,44.7
2025-01-08,West,Apparel,WEST_DC,29,935.71
2025-01-08,West,Apparel,EAST_DC,3,95.07
2025-01-08,West,Apparel,CENTRAL_DC,4,116.93
2025-01-08,West,Accessories,WEST_DC,1,14.03
2025-01-08,West,Accessories,EAST_DC,2,29.85
2025-01-08,East,Electronics,EAST_DC,34,4217.56
2025-01-08,East,Electronics,WEST_DC,4,478.64
2025-01-08,East,Electronics,CENTRAL_DC,4,454.69
2025-01-08,East,Home,EAST_DC,20,978.44
2025-01-08,East,Home,WEST_DC,6,260.51
2025-01-08,East,Home,CENTRAL_DC,3,133.51
2025-01-08,East,Apparel,EAST_DC,24,729.39
2025-01-08,East,Apparel,WEST_DC,3,88.98
2025-01-08,East,Apparel,CENTRAL_DC,1,29.88
2025-01-08,East,Accessories,EAST_DC,1,14.75
2025-01-08,Central,Electronics,CENTRAL_DC,34,4080.01
2025-01-08,Central,Electronics,WEST_DC,4,469.61
2025-01-08,Central,Electronics,EAST_DC,4,484.56
2025-01-08,Central,Home,CENTRAL_DC,18,791.46
2025-01-08,Central,Home,WEST_DC,3,130.49
2025-01-08,Central,Home,EAST_DC,3,139.82
2025-01-08,Central,Apparel,CENTRAL_DC,18,544.27
2025-01-08,Central,Apparel,WEST_DC,5,150.24
2025-01-08,Central,Apparel,EAST_DC,3,89.21
2025-01-08,Central,Accessories,CENTRAL_DC,5,74.16
2025-01-09,West,Electronics,WEST_DC,31,3683.34
2025-01-09,West,Electronics,EAST_DC,4,479.12
2025-01-09,West,Electronics,CENTRAL_DC,5,581.05
2025-01-09,West,Home,WEST_DC,23,1048.63
2025-01-09,West,Home,EAST_DC,2,94.71
2025-01-09,West,Home,CENTRAL_DC,2,91.19
2025-01-09,West,Apparel,WEST_DC,34,983.94
2025-01-09,West,Apparel,EAST_DC,4,122.82
2025-01-09,West,Apparel,CENTRAL_DC,3,89.49
2025-01-09,West,Accessories,WEST_DC,3,43.42
2025-01-09,East,Electronics,EAST_DC,36,4324.25
2025-01-09,East,Electronics,WEST_DC,8,924.96
2025-01-09,East,Electronics,CENTRAL_DC,2,235.17
2025-01-09,East,Home,EAST_DC,25,1135.27
2025-01-09,East,Home,WEST_DC,3,135.29
2025-01-09,East,Home,CENTRAL_DC,4,182.24
2025-01-09,East,Apparel,EAST_DC,32,1002.51
2025-01-09,East,Apparel,CENTRAL_DC,3,90.99
2025-01-09,East,Accessories,EAST_DC,6,92.7
2025-01-09,East,Accessories,CENTRAL_DC,1,14.52
2025-01-09,Central,Electronics,CENTRAL_DC,26,3199.03
2025-01-09,Central,Electronics,WEST_DC,7,840.29
2025-01-09,Central,Electronics,EAST_DC,5,623.92
2025-01-09,Central,Home,CENTRAL_DC,24,1122.43
2025-01-09,Central,Home,WEST_DC,1,42.84
2025-01-09,Central,Home,EAST_DC,7,303.17
2025-01-09,Central,Apparel,CENTRAL_DC,22,632.03
2025-01-09,Central,Apparel,WEST_DC,7,195.45
2025-01-09,Central,Apparel,EAST_DC,5,150.24
2025-01-09,Central,Accessories,CENTRAL_DC,6,88.1
2025-01-10,West,Electronics,WEST_DC,20,2380.86
2025-01-10,West,Electronics,EAST_DC,7,837.04
2025-01-10,West,Electronics,CENTRAL_DC,5,614.93
2025-01-10,West,Home,WEST_DC,22,1012.26
2025-01-10,West,Home,EAST_DC,3,133.85
2025-01-10,West,Home,CENTRAL_DC,7,316.87
2025-01-10,West,Apparel,WEST_DC,15,451.24
2025-01-10,West,Apparel,EAST_DC,3,87.74
2025-01-10,West,Apparel,CENTRAL_DC,2,58.93
2025-01-10,West,Accessories,WEST_DC,6,89.65
2025-01-10,East,Electronics,EAST_DC,35,4117.56
2025-01-10,East,Electronics,WEST_DC,7,850.78
