region,week,revenue,units_sold,marketing_attributed_revenue,month,rep_attributed_revenue,marketing_attributed_revenue_share
Central,1,47623.56,693,20157.27,2025-01,5869.805,0.4233
Central,2,48486.549999999996,731,22825.44,2025-01,5869.805,0.4708
Central,3,48834.75,757,23979.55,2025-01,5869.805,0.491
Central,4,48355.73,701,21279.73,2025-01,5869.805,0.4401
Central,5,45710.1,700,20491.09,2025-02,6100.475,0.4483
Central,6,47001.52,721,19507.93,2025-02,6100.475,0.415
Central,7,46545.68,715,20354.93,2025-02,6100.475,0.4373
Central,8,48378.21,698,21679.170000000002,2025-02,6100.475,0.4481
Central,9,45880.32,676,21298.260000000002,2025-03,5340.114,0.4642
Central,10,48157.590000000004,733,18920.03,2025-03,5340.114,0.3929
Central,11,48064.15,749,19929.07,2025-03,5340.114,0.4146
Central,12,43106.45,662,21001.47,2025-03,5340.114,0.4872
Central,13,47222.55,718,21176.41,2025-03,5340.114,0.4484
Central,14,47655.93,734,21944.79,2025-04,6606.5175,0.4605
Central,15,45427.68,693,19003.02,2025-04,6606.5175,0.4183
Central,16,48496.72,738,18581.57,2025-04,6606.5175,0.3832
Central,17,47956.97,705,21492.86,2025-04,6606.5175,0.4482
Central,18,47115.37,715,20820.68,2025-05,6709.38,0.4419
Central,19,46323.33,726,19543.42,2025-05,6709.38,0.4219
Central,20,47082.43,730,20866.21,2025-05,6709.38,0.4432
Central,21,45946.13,712,21451.86,2025-05,6709.38,0.4669
Central,22,49497.26,742,19379.739999999998,2025-06,5338.554,0.3915
Central,23,48517.2,740,24691.510000000002,2025-06,5338.554,0.5089
Central,24,46422.39,706,17571.55,2025-06,5338.554,0.3785
Central,25,47359.950000000004,707,19825.69,2025-06,5338.554,0.4186
Central,26,48157.93,759,22437.690000000002,2025-06,5338.554,0.4659
Central,27,47258.4,717,19847.76,2025-07,7112.5125,0.42
Central,28,50256.64,762,20590.22,2025-07,7112.5125,0.4097
Central,29,49965.95,766,20863.37,2025-07,7112.5125,0.4176
Central,30,47430.47,728,21198.94,2025-07,7112.5125,0.4469
Central,31,49053.55,730,20191.6,2025-08,6942.6575,0.4116
Central,32,47923.59,723,22996.14,2025-08,6942.6575,0.4799
Central,33,46384.18,704,21595.399999999998,2025-08,6942.6575,0.4656
Central,34,48478.69,727,20394.01,2025-08,6942.6575,0.4207
Central,35,46816.12,714,24066.2,2025-09,6102.0960000000005,0.5141
Central,36,48717.99,746,20704.9,2025-09,6102.0960000000005,0.425
Central,37,47717.31,710,21552.579999999998,2025-09,6102.0960000000005,0.4517
Central,38,49072.33,739,19351.74,2025-09,6102.0960000000005,0.3944
Central,39,50493.31,765,20557.47,2025-09,6102.0960000000005,0.4071
Central,40,47023.31,702,18859.88,2025-10,,0.4011
East,1,47528.13,696,20767.65,2025-01,5672.6575,0.437
East,2,46418.4,697,21708.89,2025-01,5672.6575,0.4677
East,3,43194.85,668,21183.23,2025-01,5672.6575,0.4904
East,4,48076.88,724,22272.92,2025-01,5672.6575,0.4633
East,5,51041.909999999996,717,19455.56,2025-02,6228.3075,0.3812
East,6,48831.25,725,20984.12,2025-02,6228.3075,0.4297
East,7,43950.15,669,22085.14,2025-02,6228.3075,0.5025
East,8,48377.99,713,19027.78,2025-02,6228.3075,0.3933
East,9,48109.02,727,20925.690000000002,2025-03,5503.778,0.435
East,10,46712.22,726,22424.57,2025-03,5503.778,0.4801
East,11,45939.03,683,20986.51,2025-03,5503.778,0.4568
East,12,51704.08,758,21762.170000000002,2025-03,5503.778,0.4209
East,13,45090.75,723,22135.89,2025-03,5503.778,0.4909
East,14,48703.48,746,20964.13,2025-04,6605.7575,0.4304
East,15,45693.7,686,20793.87,2025-04,6605.7575,0.4551
East,16,50330.92,731,21193.01,2025-04,6605.7575,0.4211
East,17,46699.29,729,22270.72,2025-04,6605.7575,0.4769
East,18,48752.21,731,19738.02,2025-05,6736.577499999999,0.4049
East,19,47540.52,727,19407.92,2025-05,6736.577499999999,0.4082
East,20,45241.14,691,21046.489999999998,2025-05,6736.577499999999,0.4652
East,21,45938.88,714,23055.47,2025-05,6736.577499999999,0.5019
East,22,48331.98,703,21505.98,2025-06,5315.258,0.445
East,23,46036.79,700,20469.51,2025-06,5315.258,0.4446
East,24,49142.14,727,23849.899999999998,2025-06,5315.258,0.4853
East,25,49139.53,739,19282.0,2025-06,5315.258,0.3924
East,26,46094.7,745,19825.83,2025-06,5315.258,0.4301
East,27,46394.58,737,20603.56,2025-07,7071.6775,0.4441
East,28,52146.56,796,18996.37,2025-07,7071.6775,0.3643
East,29,48519.409999999996,721,19232.45,2025-07,7071.6775,0.3964
East,30,49798.69,738,19529.27,2025-07,7071.6775,0.3922
East,31,45664.270000000004,681,20031.93,2025-08,6830.6425,0.4387
East,32,47774.43,722,21134.059999999998,2025-08,6830.6425,0.4424
East,33,46760.05,732,23634.57,2025-08,6830.6425,0.5054
East,34,45340.56,713,22691.44,2025-08,6830.6425,0.5005
East,35,49125.02,764,18220.31,2025-09,5971.028,0.3709
East,36,49078.58,741,23544.16,2025-09,5971.028,0.4797
East,37,47021.56,739,19835.87,2025-09,5971.028,0.4218
East,38,46974.54,695,21561.829999999998,2025-09,5971.028,0.459
East,39,51486.18,742,20009.39,2025-09,5971.028,0.3886
East,40,49451.89,745,17866.35,2025-10,,0.3613
West,1,47987.14,706,18461.12,2025-01,5743.535,0.3847
West,2,48514.07,691,21271.8,2025-01,5743.535,0.4385
West,3,44059.51,676,20557.92,2025-01,5743.535,0.4666
West,4,46938.81,715,21922.97,2025-01,5743.535,0.4671
West,5,46015.1,707,20585.23,2025-02,6273.035,0.4474
West,6,48849.590000000004,714,21837.870000000003,2025-02,6273.035,0.447
West,7,49027.55,739,18168.17,2025-02,6273.035,0.3706
West,8,50717.06,764,19806.86,2025-02,6273.035,0.3905
West,9,51772.63,768,20076.94,2025-03,5591.388,0.3878
West,10,45144.659999999996,682,22293.95,2025-03,5591.388,0.4938
West,11,49904.17,730,23351.190000000002,2025-03,5591.388,0.4679
West,12,47644.77,729,22177.25,2025-03,5591.388,0.4655
West,13,48662.48,728,22021.48,2025-03,5591.388,0.4525
West,14,45554.91,675,19026.28,2025-04,6619.6475,0.4177
West,15,48502.85,729,21814.23,2025-04,6619.6475,0.4498
West,16,47445.63,700,24591.399999999998,2025-04,6619.6475,0.5183
West,17,46636.99,733,20431.85,2025-04,6619.6475,0.4381
West,18,48211.19,729,20157.010000000002,2025-05,6908.6025,0.4181
West,19,47472.78,709,19682.52,2025-05,6908.6025,0.4146
West,20,46650.42,708,20415.96,2025-05,6908.6025,0.4376
West,21,49910.74,749,20370.5,2025-05,6908.6025,0.4081
West,22,50206.74,764,19506.36,2025-06,5403.662,0.3885
West,23,49525.25,738,20856.78,2025-06,5403.662,0.4211
West,24,47766.83,738,19203.75,2025-06,5403.662,0.402
West,25,49199.06,748,21185.44,2025-06,5403.662,0.4306
West,26,48323.86,730,22299.58,2025-06,5403.662,0.4615
West,27,47596.77,742,20863.739999999998,2025-07,7251.1575,0.4383
