region,product_category,week,revenue,units
Central,Accessories,1,515.58,35
Central,Accessories,2,387.53,26
Central,Accessories,3,663.15,44
Central,Accessories,4,474.88,32
Central,Accessories,5,390.85,26
Central,Accessories,6,711.85,47
Central,Accessories,7,551.92,37
Central,Accessories,8,506.39,34
Central,Accessories,9,475.11,32
Central,Accessories,10,612.09,41
Central,Accessories,11,439.85,29
Central,Accessories,12,531.16,35
Central,Accessories,13,596.54,40
Central,Accessories,14,484.75,32
Central,Accessories,15,419.11,28
Central,Accessories,16,502.01,34
Central,Accessories,17,471.01,32
Central,Accessories,18,601.38,41
Central,Accessories,19,535.76,36
Central,Accessories,20,517.75,34
Central,Accessories,21,402.12,27
Central,Accessories,22,372.53,25
Central,Accessories,23,533.45,36
Central,Accessories,24,448.73,30
Central,Accessories,25,556.71,37
Central,Accessories,26,582.74,39
Central,Accessories,27,449.46000000000004,30
Central,Accessories,28,424.44,28
Central,Accessories,29,376.85,25
Central,Accessories,30,408.61,27
Central,Accessories,31,399.93,27
Central,Accessories,32,606.27,40
Central,Accessories,33,431.28000000000003,29
Central,Accessories,34,375.01,25
Central,Accessories,35,456.93,31
Central,Accessories,36,475.51,32
Central,Accessories,37,421.72,27
Central,Accessories,38,431.13,28
Central,Accessories,39,444.64,30
Central,Accessories,40,466.92,32
Central,Apparel,1,6257.36,208
Central,Apparel,2,7343.8,248
Central,Apparel,3,7238.52,238
Central,Apparel,4,6598.03,220
Central,Apparel,5,6803.49,224
Central,Apparel,6,6825.86,228
Central,Apparel,7,7373.09,243
Central,Apparel,8,6176.08,206
Central,Apparel,9,6456.08,216
Central,Apparel,10,7223.23,239
Central,Apparel,11,7633.28,254
Central,Apparel,12,6294.53,212
Central,Apparel,13,7275.59,238
Central,Apparel,14,7189.24,242
Central,Apparel,15,6841.19,230
Central,Apparel,16,6962.62,227
Central,Apparel,17,6417.12,211
Central,Apparel,18,6752.0,228
Central,Apparel,19,7303.96,244
Central,Apparel,20,7109.639999999999,235
Central,Apparel,21,7524.8,252
Central,Apparel,22,6959.36,230
Central,Apparel,23,7735.179999999999,256
Central,Apparel,24,7093.26,238
Central,Apparel,25,6301.849999999999,214
Central,Apparel,26,7700.29,259
Central,Apparel,27,7130.51,239
Central,Apparel,28,7239.72,239
Central,Apparel,29,7462.57,249
Central,Apparel,30,7151.08,239
Central,Apparel,31,7124.33,235
Central,Apparel,32,6813.01,225
Central,Apparel,33,6407.04,210
Central,Apparel,34,7570.2,249
Central,Apparel,35,7283.570000000001,242
Central,Apparel,36,6578.02,220
Central,Apparel,37,5929.49,195
Central,Apparel,38,6103.37,204
Central,Apparel,39,6548.889999999999,219
Central,Apparel,40,5827.36,197
Central,Electronics,1,32699.84,273
Central,Electronics,2,32253.66,268
Central,Electronics,3,31647.29,268
Central,Electronics,4,33429.36,272
Central,Electronics,5,29273.5,243
Central,Electronics,6,30922.649999999998,257
Central,Electronics,7,30746.05,260
Central,Electronics,8,33293.06,273
Central,Electronics,9,31205.56,257
Central,Electronics,10,31746.73,264
Central,Electronics,11,30545.350000000002,256
Central,Electronics,12,28427.84,238
Central,Electronics,13,31443.78,264
Central,Electronics,14,31032.71,258
Central,Electronics,15,30023.8,252
Central,Electronics,16,31378.48,261
Central,Electronics,17,32114.8,267
Central,Electronics,18,31592.37,260
Central,Electronics,19,29432.23,246
Central,Electronics,20,30003.120000000003,251
Central,Electronics,21,29458.75,244
Central,Electronics,22,31944.18,264
Central,Electronics,23,31928.21,263
Central,Electronics,24,30574.66,255
Central,Electronics,25,31963.18,266
Central,Electronics,26,30498.69,252
Central,Electronics,27,31262.01,264
Central,Electronics,28,32618.03,269
Central,Electronics,29,32191.54,273
Central,Electronics,30,30475.51,253
Central,Electronics,31,32867.59,274
Central,Electronics,32,31487.91,260
Central,Electronics,33,29838.59,248
Central,Electronics,34,32089.3,266
Central,Electronics,35,31061.62,261
Central,Electronics,36,28686.51,243
Central,Electronics,37,28384.53,239
Central,Electronics,38,29047.74,242
Central,Electronics,39,29280.15,244
Central,Electronics,40,27885.11,232
Central,Home,1,8150.780000000001,177
Central,Home,2,8501.56,189
Central,Home,3,9285.79,207
Central,Home,4,7853.46,177
